Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Технологический институт Джорджии,90,США,32151.5,19666.5,,97,36,156
Университет Западной Австралии,91,Австралия,49517.5,44199.5,44892.0,72,143,112
Университет Лидса,92,Великобритания,19691.0,13440.5,,75,129,157
Университет Уильяма Марша Райса,93,США,52056.0,43523.5,,145,119,113
Московский государственный университет им.М.В.Ломоносова,94,Россия,5061.0,5257.0,,87,114
Университет Осло,95,Норвегия,112.0,56.0,,117,127,73
Гентский университет,96,Бельгия,1568.0,1304.5,,159,115,84
Альбертский университет,97,Канада,20796.0,15499.0,7419.0,111,109,91
Нагойский университет,98,Япония,3420.0,3420.0,,176,201,115
Китайский университет Гонконга,99,Гонконг,18567.0,18567.0,,47,53,116
Университет Фудань,100,Китай,16556.0,16201.0,,50,44,56
Питтсбургский университет,101,США,41424.5,39444.0,,222,145,83
Токийский технологический институт,102,Япония,3420.0,3420.0,,91,191,158
Колорадский университет в Боулдере,103,США,60857.0,47515.5,,264,138,57
Чжэцзянский университет,104,Китай,18641.0,17727.5,,44,55,33
Датский технический университет,105,Дания,19000.0,19000.0,,121,126,159
Калифорнийский университет в Ирвайне,106,США,10997.0,10997.0,,92,65
Еврейский университет в Иерусалиме,107,Израиль,7800.0,12400.0,17000.0,251,301,86
Монреальский университет,108,Канада,8633.0,10422.5,12212.0,141,111,160
Национальный университет Тайваня,109,Тайвань,1806.0,1794.5,,69,152
Базельский университет,110,Швейцария,1664.0,1664.0,10634.0,124,123,81
Гонконгский научно-технологический университет,111,Гонконг,17927.0,11659.0,,60,64,301
"Тринити-колледж, Дублин",112,Ирландия,28370.0,27794.5,21715.0,81,134,202
Университет Фрайбурга,113,Германия,3245.0,3245.0,,192,128,117
Корейский ведущий научно-технический институт,114,Республика Корея,6998.0,16995.5,,56,83,203
Университет Сан-Паулу,115,Бразилия,1000.0,500.0,,85,118
Университет Макмастера,116,Канада,19417.5,17776.0,17509.0,189,103,98
