Название,Место в рейтинге,Расположение,Бакалавриат,Магистратура,Докторантура,QS,THE,ARWU
Общественный колледж Центральной Алабамы,10425,США,8858.0,,
Университет Ва,10426,Пакистан,,,
Барселонский институт международных исследований,10427,Испания,,,
Политехнический университет Тулансинго,10428,Мексика,,,
Исламский университет Азад Абаде,10429,Иран,,,
Исламский университет Азад Харг,10430,Иран,,,
Университет города Переславля А К Айламазяна,10431,Россия,,,
Лондонский университет Рейвенсборн,10432,Великобритания,,,
Школа искусств Карачи,10433,Пакистан,,,
Технологический институт Тизимина,10434,Мексика,,,
Ляонинский инженерно-технологический университет,10435,Китай,,,
Иркутский Филиал Российский Государственный Университет Физической Культуры Спорта Молодёжи и Туризма,10436,Россия,,,
Колледжи Маленького Принца,10437,Бразилия,,,
Университет Хоуон,10438,Республика Корея,,,
Центр журналистских исследований,10439,Франция,,,
Университет Ламара Гвадалахары,10440,Мексика,,,
Институт перспективных исследований национальной обороны,10441,Франция,,,
Технический колледж Сурабая,10442,Индонезия,,,
Исламский университет Азад Гонабад,10443,Иран,,,
Университет Шри Баладжи Видьяпита,10444,Индия,,,
Фонд Технологического университета Комфеналько,10445,Колумбия,,,
Инженерный колледж NSS,10446,Индия,,,
Бишкекский гуманитарный университет,10447,Кыргызстан,,,
Колледж Жан де Бребеф,10448,Канада,,,
Пресвитерианский университетский колледж,10449,Гана,5000.0,5000.0,
Технологический институт Леона,10450,Мексика,,,
Международный политехнический,10451,Тунис,,,
Центральная консерватория музыки,10452,Китай,,,
Университет дельты Нигера,10453,Нигерия,,,
Национальная школа коммерции и менеджмента Университета Хасана I Сеттата Сеттат,10454,Марокко,1000.0,1000.0,
PVG Инженерно-технологический колледж Пуны,10455,Индия,,,
Новосибирский юридический институт,10456,Россия,,,
Пенсильванская академия изящных искусств,10457,США,19995.0,19995.0,
Давао из Северного государственного колледжа,10458,Филиппины,,,
Крэнбрукская академия искусств,10459,США,,,
Академия изящных искусств в Гданьске,10460,Польша,,,
Национальный экспериментальный морской университет Карибского бассейна,10461,Венесуэла,,,
Колледж перекрестка,10462,США,14996.0,14996.0,
Колледж Мартина Лютера,10463,США,17495.0,17495.0,
Христианский университет Мартина Лютера,10464,Индия,,,
Джакартский колледж информации и компьютерного менеджмента,10465,Индонезия,,,
Университет Эрста Скондаль,10466,Швеция,,,
Найробийский институт бизнес-исследований,10467,Кения,,,
Международный канадский фонд технологий лидерства,10468,Колумбия,,,
Сианьская академия изящных искусств,10469,Китай,,,
Университет Сфакса Высший институт вычислительной техники и мультимедиа Сфакса,10470,Тунис,,,
Вефильский колледж,10471,США,19995.0,19995.0,
Баптистский университет Вэйленда,10472,США,12497.0,12497.0,
Университет экологии Бухареста,10473,Румыния,,,
Оклахома Уэслианский университет,10474,США,17495.0,17495.0,
Шаосинский университет,10475,Китай,,,
Еврейский колледж,10476,США,19995.0,19995.0,
Университет Линкольна (Миссури),10477,США,13706.0,11851.5,
Университет Коти,10478,Япония,,,,1828
Колледж Спринг-Хилл,10479,США,19995.0,19995.0,
Президент Института Токантиненсе Антонио Карлос ITPAC,10480,Бразилия,,,
международный институт информационных технологий,10481,Индия,,,
Университет Шаха Абдул Латифа,10482,Пакистан,,,
Бургасский свободный университет,10483,Болгария,5000.0,5000.0,
"Шер-и-Кашмирский университет сельскохозяйственных наук и технологий, Джамму",10484,Индия,,,
Университет Мадонны Нигерия,10485,Нигерия,1000.0,1000.0,
Сингапурский музыкальный колледж Raffles,10486,Сингапур,,,
Ведущий городской университет,10487,Нигерия,,,
Университет Гаити,10488,Гаити,1000.0,1000.0,
Университет Кимпхо,10489,Республика Корея,,,
Адвентистский университет Никарагуа,10490,Никарагуа,,,
Яньчэнский профессионально-технический колледж здравоохранения,10491,Китай,,,
Кларксон Колледж,10492,США,9997.0,9997.0,
Государственный университет полуострова Батаан,10493,Филиппины,,,
Университет науки и технологий Ю Да,10494,Тайвань,,,
Технический колледж Окони Фолл Лайн,10495,США,5471.0,,
Колледж штата Мехико,10496,Мексика,,,
Кендалл Колледж,10497,США,14370.5,18036.5,
Колледж Панола,10498,США,,,
Общественный колледж Бэй-де-Нок,10499,США,10047.0,,
Митчелл Колледж,10500,США,19995.0,19995.0,
Католический университет Богоматери Доброго Совета,10501,Албания,,,
Колледж Ганнибала-Лагранжа,10502,США,14996.0,14996.0,
Аньшаньский педагогический колледж,10503,Китай,,,
Санкт Петербургский государственный электротехнический университет,10504,Россия,,,,999,1433
Банковско-финансовая академия Узбекистана,10505,Узбекистан,,,
Технологический университет Ривьеры Майя,10506,Мексика,,,
Цинхайский педагогический университет,10507,Китай,,,
Международный университет Фукуока,10508,Япония,,,
Юго-Восточный Европейский университет,10509,Македония,5000.0,5000.0,
Ансбахский университет прикладных наук,10510,Германия,1000.0,1000.0,
Институт высшего образования Насера Хосрова,10511,Иран,,,
Политехникум в Карловаце,10512,Хорватия,,,
Университет Великой Колумбии - Армения,10513,Колумбия,,,
Педагогический колледж Королевского университета Бутана Паро,10514,Бутан,,,
Пусанский национальный университет Кёнсан,10515,Республика Корея,,,
Общественный колледж Лейкс-Регион,10516,США,14984.0,,
ESC Пау,10517,Франция,,,
Общественный колледж Юго-Западной Вирджинии,10518,США,,,
Школа дизайна и искусства,10519,Испания,,,
Окинавский христианский университет,10520,Япония,,,
PRES Парижский восточный университет,10521,Франция,,,
Центральный Бикольский государственный аграрный университет,10522,Филиппины,,,
Институт дополнительного и высшего образования Гримсби,10523,Великобритания,,,
Баптистский университет Америки,10524,США,4999.0,4999.0,
Юго-Западный колледж,10525,Великобритания,,,
Женский университет Фукуока,10526,Япония,,,
Медицинский колледж шейха Зайда,10527,Пакистан,,,
Католический университет Святого Павла - Тариха,10528,Боливия,,,
Лудонгский университет,10529,Китай,,,
Университетский колледж Аквинского Коломбо,10530,Шри-Ланка,,,
Университет питания Кагава,10531,Япония,,,
Хэбэйский университет,10532,Китай,,,,993
Институт высшего образования Дадабхой,10533,Пакистан,,,
Технологический университет долины Мескиталь,10534,Мексика,,,
Инженерный колледж PES Мандая,10535,Индия,,,
Университет Бурунди,10536,Бурунди,,,
Университет Мануба Высший институт спорта и физического воспитания Ксара Саида,10537,Тунис,,,
"Университет социальных и гуманитарных наук, факультет вьетнамских исследований",10538,Вьетнам,,,
Исламский университет Азад Наин,10539,Иран,,,
Политехнический университет,10540,Мозамбик,,,
Наук По Экс,10541,Франция,,,
Университет Аллена,10542,США,12497.0,12497.0,
Государственный университет Тетово,10543,Македония,,,
Технологический колледж Нумадзу,10544,Япония,,,
Университет Оу,10545,Япония,,,
Ассоциированные колледжи Unilist,10546,Бразилия,,,
Университет префектуры Фукуока,10547,Япония,,,
Маристский университет Мериды,10548,Мексика,,,
Куша Колледж прикладных наук и технологий Тегеранский филиал,10549,Иран,,,
Хесстон Колледж,10550,США,,,
Технический колледж Нижней страны,10551,США,11017.0,,
Спортивный колледж Бивако Сэйкэй,10552,Япония,,,
Калифорнийский колледж Сан-Диего,10553,США,16596.0,,
Университет Humanitas в Сосновце,10554,Польша,,,
Университет неврологии,10555,Республика Корея,,,
Международная школа Кении,10556,Кения,,,
Кистоун Колледж,10557,США,19995.0,19995.0,
Ташкентский филиал Московского государственного университета имени М. Ломоносова,10558,Узбекистан,,,
Омская академия Министерства внутренних дел Российской Федерации,10559,Россия,,,
Технологический университет Анны Мадурай,10560,Индия,,,
Краудер Колледж,10561,США,5327.0,,
Outaouais Cegep,10562,Канада,,,
Морской университет Фонда Джона Б. Лаксона,10563,Филиппины,,,
Нью-Йоркский колледж медицинских профессий,10564,США,14222.0,,
Университет прикладных наук Ной-Ульма,10565,Германия,1000.0,1000.0,
Инсбрукский медицинский университет,10566,Австрия,413.0,706.5,,295,585
Силезская медицинская школа в Катовице,10567,Польша,,,
Женская секция Университета имама Садика,10568,Иран,,,
Университет Чонджу,10569,Республика Корея,,,
Инженерный колледж Исвари в Ченнаи,10570,Индия,,,
Сеть Марван,10571,Марокко,,,
Исламский университет Азад Гачсаран,10572,Иран,,,
Колледж Сумаре,10573,Бразилия,,,
Подольский государственный аграрно-технический университет,10574,Украина,,,
Свято-Филаретовский православно-христианский институт,10575,Россия,,,
Уттар-Прадеш Пандит Дин Даял Упадхьяя Пашу Чикитса Вигьян Вишвавидьялая Эвам Го-Анусандхан Санстхан,10576,Индия,,,
Национальный институт сердечно-сосудистых заболеваний,10577,Пакистан,,,
Технический институт Лейк-Эриа,10578,США,,,
Университет изящных искусств в Гамбурге,10579,Германия,1000.0,1000.0,
Международный университет монако,10580,Монако,20000.0,20000.0,
Санскритский университет Уттаракханда,10581,Индия,,,
Национальный университет повышения квалификации юристов,10582,Индия,,,
Медицинский колледж SN Агра,10583,Индия,,,
Университет прикладных наук Видземе,10584,Латвия,2466.0,2753.0,
Христианский университет имени Дмитрия Кантемира,10585,Румыния,,,
Государственный университет Амазонки,10586,Эквадор,,,
Южный пригородный колледж,10587,США,12680.0,,
"Сент-Эндрюсский колледж искусств, науки и торговли",10588,Индия,,,
"Институт управления и исследований Университета Бхарати Видьяпит, Нью-Дели",10589,Индия,,,
Итальянская академия,10590,Италия,,,
Бронницкий Филиал Московского автомобильно-дорожного государственного технического университета,10591,Россия,,,
Частная инженерная школа Агадира,10592,Марокко,,,
Технологический университет Табаско,10593,Мексика,,,
Университетский центр лавр,10594,Бразилия,,,
Польский виртуальный университет,10595,Польша,,,
Кертин Колледж,10596,Австралия,,,
Университет префектуры Симанэ,10597,Япония,,,
Сычуаньский музыкальный колледж,10598,Китай,,,
Национальный научно-образовательный центр физики частиц и высоких энергий БГУ,10599,Беларусь,,,
Антильский адвентистский университет,10600,Пуэрто-Рико,7498.0,7498.0,
Институт права и публичной политики,10601,Россия,,,
Колледж Чаттануги,10602,США,10687.0,,
NZMA,10603,Новая Зеландия,,,
Инженерный колледж Франциска Ксаверия,10604,Индия,,,
Колледж Вале-ду-Салгадо FVS,10605,Бразилия,,,
Эстонская академия художеств,10606,Эстония,2500.0,1899.0,
Университет Тохо Гакуэн,10607,Япония,,,
Ханты-Мансийская государственная медицинская академия,10608,Россия,,,
Институт высшего образования Хадафа,10609,Иран,,,
Университет Ньюмена,10610,США,19995.0,19995.0,
Сычуаньский университет искусств и наук,10611,Китай,,,
Технологическое учебное заведение Центральной Греции,10612,Греция,757.0,757.0,
Университет Пердана,10613,Малайзия,,,
Корейский международный университет,10614,Республика Корея,,,
Лютеранский колледж,10615,Япония,,,
Автономный университет Санта-Ана,10616,Сальвадор,,,
Университет внешней экономики и торговли,10617,Китай,,,,1387
Университетский центр технологий и цифрового искусства,10618,Испания,,,
Национальная школа ландшафтной архитектуры Версаль-Марсель,10619,Франция,,,
Университет Мадурай Камарасар,10620,Индия,,,
Колледж Бэкона,10621,США,14696.0,,
Гастингс Колледж,10622,США,19995.0,19995.0,
Доктор NGP Колледж искусств и наук,10623,Индия,,,
Навоийский государственный педагогический институт,10624,Узбекистан,,,
Университет Кади Айяд Факультет наук и технологий Марракеш,10625,Марокко,,,
Объединенный факультет Виктории,10626,Бразилия,,,
Государственный исламский колледж Парепаре,10627,Индонезия,,,
Колледж Голди-Биком,10628,США,25493.0,22797.0,
Университет современных наук,10629,Объединенные Арабские Эмираты,10000.0,10000.0,
Высший институт технологических исследований,10630,Тунис,,,
Женский университет Фудзи,10631,Япония,,,
Христианский колледж Джарвиса,10632,США,9997.0,9997.0,
Университет Кокроаминото - Джокьякарта,10633,Индонезия,,,
Центральноамериканский институт государственного управления,10634,Коста-Рика,,,
Центр высшего образования и развития CESED,10635,Бразилия,,,
Колледж Оглала Лакота,10636,США,2683.0,,
Академия ВВС Турции,10637,Турция,,,
QI в колледже,10638,Бразилия,,,
Государственный общественный колледж Бишопа,10639,США,8848.0,,
Национальная школа менеджмента,10640,Алжир,,,
Институт технологий и науки Шри Говиндрама Сексариа,10641,Индия,,,
Факультет Ассис Гургач FAG,10642,Бразилия,,,
Московская государственная академия водного транспорта,10643,Россия,,,
Колледж Нинбо Дахунъин,10644,Китай,,,
Институт искусств Сан-Франциско,10645,США,45652.0,46744.5,
Международный иберо-американский университет UNINI Мексика,10646,Мексика,,,
UNIÍTALO итало-бразильский образовательный комплекс,10647,Бразилия,,,
Политехнический и художественный университет Парагвая,10648,Парагвай,,,
Колледж Америка,10649,США,,,
Технический колледж ITI,10650,США,11153.0,,
Европейский университет прикладных наук,10651,Германия,10000.0,10000.0,
Бухарестский университет Титу Майореску,10652,Румыния,,,
Педагогический университет Калоркса,10653,Индия,,,
Отделение высшего образования Feira de Santana UNEF,10654,Бразилия,,,
Национальный технологический колледж Мацуэ,10655,Япония,,,
Галвестонский колледж,10656,США,5199.0,,
Технологический институт высших исследований Заморы,10657,Мексика,,,
Школа кино Бесплатная консерватория французского кино,10658,Франция,,,
Фэньянский колледж Шаньсиского медицинского университета,10659,Китай,,,
Общественный колледж Вест-Хиллз,10660,США,,,
Институт агрономии и ветеринарии Хасана II,10661,Марокко,,,
Академия изящных искусств Лигустика в Турине,10662,Италия,,,
Вилла Колледж,10663,Мальдивские о-ва,,,
Platt College-Сан-Диего,10664,США,17230.0,,
Инженерный колледж Ганди,10665,Индия,,,
Институт психологии и педагогики,10666,Россия,,,
Колледж Патрика Генри,10667,США,28392.0,,
Университет Джона Ф. Кеннеди,10668,США,17495.0,17495.0,
Университет Педрегала,10669,Мексика,7500.0,7500.0,
Университет Панча Марга,10670,Индонезия,,,
Университетский колледж Севера,10671,Канада,,,
Киотский женский университет,10672,Япония,,,
Государственный университет учебно научно производственный комплекс,10673,Россия,,,
Медицинский университет Аити,10674,Япония,,,,1161
Университет Баламанда Ливанская академия изящных искусств,10675,Ливан,,,
Общественный колледж округа Скенектади Государственного университета Нью-Йорка,10676,США,,,
Колледж Макферсона,10677,США,19995.0,19995.0,
Специальная школа архитектуры,10678,Франция,,,
Южный центральный колледж,10679,США,5490.0,,
Университет Ситэннодзи,10680,Япония,,,
Пермская государственная фармацевтическая академия,10681,Россия,,,
Школа непрерывного образования Пекинского университета,10682,Китай,,,
Национальная инженерная школа Тарб - ENIT,10683,Франция,1000.0,1000.0,
Хиросимский университет Шудо,10684,Япония,,,
Национальная инженерная школа Сент-Этьена,10685,Франция,,,
Средиземноморский агрономический институт Монпелье,10686,Франция,,,
Университет Нгаундере,10687,Камерун,,,
Колумбийский технический колледж,10688,США,5441.0,,
Инженерный колледж Ченганнур,10689,Индия,,,
Медицинский частный университет Парацельса,10690,Австрия,12500.0,12500.0,
Университет Аруши,10691,Танзания,,,
Первый московский государственный медицинский университет имени И. М. Сеченова,10692,Россия,84.0,84.0,,779,994
Каспийский Институт Морского И Речного Транспорта Филиал Волжская Государственная Академия Водного,10693,Россия,,,
Университет Сихуа,10694,Китай,,,
Университет бизнеса и медицинских наук,10695,Польша,,,
Алма Колледж,10696,Канада,,,
Автономная школа управления бизнесом,10697,Испания,,,
Независимый университет Баня-Луки,10698,Босния,,,
Академия экономического образования Молдавии,10699,Молдавия,1000.0,1000.0,
Технический общественный колледж Макдауэлла,10700,США,6532.0,,
Женский младший колледж Йонезава префектуры Ямагата,10701,Япония,,,
Свальбардский международный университет,10702,Норвегия,101.0,101.0,
Продвинутая школа коммерции,10703,Алжир,,,
Орлеанская школа искусства и дизайна,10704,Франция,,,
Центр передового опыта в области информационных и коммуникационных технологий,10705,Бельгия,,,
"Медицинский колледж Пенджаба, Пакистан",10706,Пакистан,,,
Университетский институт подготовки учителей Монпелье,10707,Франция,,,
Педагогический институт Университета Нор-Па-де-Кале,10708,Франция,,,
Академия здоровья и ухода за кожей Исы Карстенс,10709,ЮАР,,,
Университет Дилларда,10710,США,14996.0,14996.0,
Колледж гостеприимства и туризма Уильяма Блю,10711,Австралия,,,
Католический университет Камеруна,10712,Камерун,,,
Университет искусств и дизайна Бург Гибихенштайн Галле,10713,Германия,1000.0,1000.0,
Одесская национальная морская академия,10714,Украина,,,
Ikh Zasag University Chinggis Khaan,10715,Монголия,,,
PGSM Grande Ecole of Commerce and Management,10716,Франция,,,
Университет Нилтона Линса,10717,Бразилия,,,
Колледж Малути TVET,10718,ЮАР,,,
Университет связи,10719,Мексика,,,
Иркутский государственный лингвистический университет,10720,Россия,2500.0,2500.0,
Московский институт экономики,10721,Россия,,,
Колледж Ачарьи Прафуллы Чандра,10722,Индия,,,
Алтайская государственная академия культуры и искусств,10723,Россия,,,
Технологический институт Уошберна,10724,США,8158.0,,
Частное образовательное учреждение высшего образования Таганрогский институт управления и экономики,10725,Россия,,,
Столичный факультет Камасари,10726,Бразилия,,,
"Университет Шахида Беназир Бхутто, Шерингал",10727,Пакистан,2500.0,2500.0,
Частная юридическая школа,10728,Мексика,,,
В Общественном колледже Каео,10729,Таиланд,,,
Самарский государственный университет,10730,Россия,2500.0,2500.0,
Университет Ла Саль,10731,Коста-Рика,,,
Университет Триполи,10732,Ливия,,,
Колледж Сан-Бенту,10733,Бразилия,,,
Шаньсиский финансовый университет,10734,Китай,,,
Королевская военно-морская академия Таиланда,10735,Таиланд,,,
Государственный университет информационных технологий и предпринимательства в Ломже,10736,Польша,5000.0,5000.0,
Хэби профессионально-технический колледж,10737,Китай,,,
Региональный центр Национального открытого университета Индиры Ганди в Бангалоре,10738,Индия,,,
протестантский теологический университет,10739,Нидерланды,,,
FH Куфштейн,10740,Австрия,1000.0,1000.0,
Университет Сан-Карлос в Гватемале - Восток,10741,Гватемала,,,
Технический колледж Саванны,10742,США,5441.0,,
Дублинский институт перспективных исследований,10743,Ирландия,,,
Университет Дубровника,10744,Хорватия,,,
Общественный колледж округа Херкимер,10745,США,8988.0,,
Вонгчавалиткульский университет,10746,Таиланд,,,
Филиал Исламского университета Азад в Ленджане,10747,Иран,,,
Курашики Университет Сакуё,10748,Япония,,,
Университетский технологический институт Тарба,10749,Франция,,,
Женский младший колледж Уэда,10750,Япония,,,
Высшая школа нейронных и поведенческих наук Международная исследовательская школа Макса Планка,10751,Германия,,,
В инженерном колледже,10752,Индия,,,
Технический колледж Центральной Каролины,10753,США,9014.0,,
Даляньский транспортный университет,10754,Китай,,,
Университет Тиса,10755,Сенегал,,,
Колледж Луизианы,10756,США,12497.0,12497.0,
Научный институт Университета Мохаммеда V Агдала Рабат,10757,Марокко,,,
Хуайнаньский педагогический колледж,10758,Китай,,,
Haute Ecole Libre Mosane,10759,Бельгия,2500.0,2500.0,
Школы изящных искусств Датской королевской академии изящных искусств,10760,Дания,,,
Колледж программного обеспечения Huasoft Университета Гуанчжоу,10761,Китай,,,
Университет Пуэрто-Рико в Агуадилье,10762,Пуэрто-Рико,,,
Общественный колледж Хиндса,10763,США,,,
Колледж Годдарда,10764,США,12497.0,12497.0,
Университет Уагадугу,10765,Буркина Фасо,1000.0,1000.0,
Южно-Уральский государственный институт искусств им. П.И. Чайковского,10766,Россия,,,
Факультет высшего образования Флориано FAESF,10767,Бразилия,,,
Национальная академия государственного управления,10768,Вьетнам,,,
Консерватория итальянской Швейцарии,10769,Швейцария,,,
Кыргызский национальный аграрный университет им. К.И.Скрябина,10770,Кыргызстан,,,
Институт перспективных промышленных технологий,10771,Франция,,,
CK Pithawala College of Engineering & Technology,10772,Индия,,,
Университет Иваки Мейсей,10773,Япония,,,
Катарский авиационный колледж,10774,Катар,,,
Институ́т внешнеэкономи́ческих свя́зей,10775,Россия,,,
Тунисский университет Эль-Манар Институт Пастера,10776,Тунис,,,
Национальный технологический колледж Акаси,10777,Япония,,,
Инженерный колледж Гудлаваллеру,10778,Индия,,,
Хайфонский университет медицины и фармации,10779,Вьетнам,,,
Университет Тахри Мохаммеда Бешара,10780,Алжир,,,
Исикавский национальный технологический колледж,10781,Япония,,,
Столичный университет Бангладеш,10782,Бангладеш,2500.0,2500.0,
Национальная школа прикладных наук и технологий,10783,Франция,,,
Университет Санто-Томас - Букараманга,10784,Колумбия,,,
Колледж UOW,10785,Австралия,,,
Государственный институт искусства и культуры Узбекистана,10786,Узбекистан,,,
Инчхонский католический университет,10787,Республика Корея,,,
Католический университет Фрайбурга,10788,Германия,2500.0,2500.0,
KENT Институт высшего образования,10789,Индия,,,
Центр политических и конституционных исследований,10790,Испания,,,
Университет Саппоро Гакуин,10791,Япония,,,
Блэкпул и Колледж Файлд,10792,Великобритания,,,
Университет Мэйхо,10793,Тайвань,,,
Институт интегрированного обучения менеджменту,10794,Индия,,,
Общественный колледж Холмса,10795,США,,,
"Университет Сетиф 1 Факультет экономики, торговли и менеджмента",10796,Алжир,,,
Исламский университет Азад Тафреш,10797,Иран,,,
Университет долины Аоста,10798,Италия,,,
Колледж Сатьявати,10799,Индия,,,
Папский университет Антонианум,10800,Италия,,,
Инженерно-технологический колледж Шахида Бхагата Сингха,10801,Индия,,,
EPF - Инженерная школа,10802,Франция,7500.0,7500.0,
Младший колледж Мёнджи,10803,Республика Корея,,,
Институт технических исследований Гитанджали,10804,Индия,,,
Университет богословия,10805,Австралия,7757.0,7394.0,
Анжерская школа компьютерной и производственной инженерии,10806,Франция,,,
Технологический колледж Салалы,10807,Оман,,,
Академия высшего образования и исследований Шри Девараджа Урса,10808,Индия,,,
Корпоративная школа искусств и литературы,10809,Колумбия,,,
Технологический университет Юго-Запада Гуанахуато,10810,Мексика,,,
Педагогический университет - Во,10811,Швейцария,,,
"Государственный колледж Ламара, Порт-Артур",10812,США,16597.0,,
Хайфонский университет,10813,Вьетнам,,,
Урсулинский колледж,10814,США,19995.0,19995.0,
Университет науки и технологий Банну,10815,Пакистан,,,
Каламандалам,10816,Индия,,,
Университетский центр Образовательного фонда Октавиуса Бастоса,10817,Бразилия,,,
Андижанский государственный медицинский институт,10818,Узбекистан,,,
Частный университет Антона Брукнера,10819,Австрия,1000.0,1000.0,
Университет Чубу Гакуин,10820,Япония,,,
Университетский колледж Универсум,10821,Сербия,,,
Колледж Маунт Марти,10822,США,17495.0,17495.0,
Университет Индианы-Кокомо,10823,США,20096.5,17634.0,
Университет Куангбиня,10824,Вьетнам,,,
Университет штата Оклахома – Оклахома-Сити,10825,США,10905.0,,
Технологический институт Toyota в Чикаго,10826,США,,,
Благотворительная больница BYL Nair и медицинский колледж штата TN,10827,Индия,,,
Евфратский университет,10828,Сирийская Арабская Республика,,,
Национальный университет Сан-Луис-Гонзага в Ике,10829,Перу,,,
Исламский университет Азад Арсанджан,10830,Иран,,,
"Университет Хасана I Сеттата Факультет юридических, экономических и социальных наук Сеттат",10831,Марокко,,,
Медицинский колледж Мехарри,10832,США,,,
Университетский центр Святой Анны,10833,Бразилия,,,
Фармацевтический колледж Дж. Пулла Редди в Хайдарабаде,10834,Индия,,,
Институт мировой экономики и финансов,10835,Россия,,,
Университет Нух Начи Язган,10836,Турция,,,
Межтехнический колледж Лампанг,10837,Таиланд,,,
Ингушский государственный университет,10838,Россия,,,
Украинская академия печати,10839,Украина,,,
Колледжи Санто-Агостиньо-Монтес-Кларос,10840,Бразилия,,,
Университетский центр Асунсьона,10841,Бразилия,,,
Университет YMCA,10842,Мексика,,,
"Хайберский медицинский колледж для девочек, Пешавар",10843,Пакистан,,,
Научный университет Донг-Юи,10844,Республика Корея,,,
Институт засушливых районов Меденина,10845,Тунис,,,
Университет Веритас,10846,Коста-Рика,5000.0,5000.0,
Колледж Портервилля,10847,США,9896.0,,
Исламский университет Азад в Махабаде,10848,Иран,,,
"Университет ""Луидж Гуракуки""",10849,Албания,,,
Институт Ядерной Энергетики,10850,Россия,,,
Центральный христианский библейский колледж,10851,США,9997.0,9997.0,
Технический общественный колледж Флетчера,10852,США,,,
Аквинский колледж,10853,США,,,
Кадетское военное училище генерала Хосе Марии Кордовы,10854,Колумбия,,,
Южно-Уральский государственный университет,10855,Россия,,,
Ханойский университет культуры,10856,Вьетнам,,,
Лесной университет,10857,Болгария,,,
Высшая школа агробизнеса и регионального развития,10858,Болгария,,,
Институт практической психологии и психоанализа,10859,Россия,,,
Медицинская школа Северного Онтарио,10860,Канада,,,
Университет Уэсли в Дакоте,10861,США,19995.0,19995.0,
Йоркский технический колледж,10862,США,,,
Университет Цукуба Гакуин,10863,Япония,,,
Кокандский государственный педагогический институт,10864,Узбекистан,,,
Политехнический университет Тлашкалы,10865,Мексика,,,
Греческий американский образовательный центр,10866,Греция,,,
Общественный колледж дельты Миссисипи,10867,США,5339.0,,
Тинбергенский институт,10868,Нидерланды,,,
Университетский центр Риу-Гранди-ду-Норти UNI-RN,10869,Бразилия,,,
Австралийский колледж физического воспитания,10870,Австралия,,,
Гвадалахарский колледж общественных бухгалтеров,10871,Мексика,,,
Англо-европейский колледж хиропрактики,10872,Великобритания,,,
Селсо Лиссабонский университетский центр,10873,Бразилия,,,
Колледж технологий и инженерии Сельскохозяйственный и технологический университет Махараны Пратап,10874,Индия,,,
Асаханский университет,10875,Индонезия,,,
Институт воспитательной и социальной работы,10876,Франция,,,
Общественный колледж Северного Мэна,10877,США,6708.0,,
Образовательный центр Хольстебро,10878,Дания,,,
Иркутская Государственная Сельскохозяйственная Академия,10879,Россия,,,
Институт деловой карьеры,10880,Россия,,,
Инженерный колледж Раджи Раджесвари в Ченнаи,10881,Индия,,,
Католический университет Айхштетт-Ингольштадт,10882,Германия,,,
Колледж Морриса Брауна,10883,США,,,
Колледж Пейн,10884,США,12497.0,12497.0,
Университет Шри Кришнадеварая,10885,Индия,,,
Университет распределительных наук,10886,Япония,,,
Высший технологический институт Сантьяго Папаскьяро,10887,Мексика,,,
Университет новых наук и технологий Бадди,10888,Индия,2500.0,2500.0,
Балхский университет,10889,Афганистан,,,
Тунисский университет Факультет гуманитарных и социальных наук Туниса,10890,Тунис,,,
